indicator_code,indicator_name,year,indicator_value
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,2018,55771190
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,2018,44060727
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,2016,0
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,2017,0
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,2018,
NTD_LEISHCEND,Status of endemicity of cutaneous leishmaniasis,2018,
NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,2017,0
NTD_LEISHCNUM_IM,Number of imported cases of cutaneous leishmaniasis reported,2018,0
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,2017,55
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,2018,
NTD_LEISHVEND,Status of endemicity of visceral leishmaniasis,2018,
NTD_LEISHVNUM_IM,Number of imported cases of visceral leishmaniasis reported,2018,
NTD_YAWSEND,Status of yaws endemicity,2018,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,2017,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,2018,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2008,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2009,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2010,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2011,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2012,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2013,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2014,0
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2015,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2016,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2017,
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,2018,
