indicator_code,indicator_name,year,age_group,sex,indicator_value
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2009,20+ years,Male,23
CHOL_04,Mean Total Cholesterol (crude estimate),2009,25+ years,Male,3.8
CHOL_04,Mean Total Cholesterol (crude estimate),1980,25+ years,Male,4.2
CHOL_04,Mean Total Cholesterol (crude estimate),1993,25+ years,Male,3.8
CHOL_04,Mean Total Cholesterol (crude estimate),1994,25+ years,Male,3.8
CHOL_04,Mean Total Cholesterol (crude estimate),1995,25+ years,Male,3.8
CHOL_04,Mean Total Cholesterol (crude estimate),1996,25+ years,Male,3.7
CHOL_04,Mean Total Cholesterol (crude estimate),1997,25+ years,Male,3.7
CHOL_04,Mean Total Cholesterol (crude estimate),1988,25+ years,Female,4.3
CHOL_04,Mean Total Cholesterol (crude estimate),1989,25+ years,Female,4.3
CHOL_04,Mean Total Cholesterol (crude estimate),1990,25+ years,Female,4.3
CHOL_04,Mean Total Cholesterol (crude estimate),1991,25+ years,Female,4.2
CHOL_04,Mean Total Cholesterol (crude estimate),2004,25+ years,Female,4.1
CHOL_04,Mean Total Cholesterol (crude estimate),2005,25+ years,Female,4.1
CHOL_04,Mean Total Cholesterol (crude estimate),2006,25+ years,Female,4.1
CHOL_04,Mean Total Cholesterol (crude estimate),2007,25+ years,Female,4.1
CHOL_04,Mean Total Cholesterol (crude estimate),2008,25+ years,Female,4.1
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1992,25+ years,Male,3.8
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1993,25+ years,Male,3.8
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1994,25+ years,Male,3.8
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1995,25+ years,Male,3.8
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1993,25+ years,Female,4.2
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1994,25+ years,Female,4.2
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1995,25+ years,Female,4.2
CHOL_03,Mean Total Cholesterol (age-standardized estimate),1996,25+ years,Female,4.2
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1983,25+ years,Female,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1984,25+ years,Female,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1985,25+ years,Female,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1986,25+ years,Female,5.2
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1987,25+ years,Female,5.2
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),2000,25+ years,Female,5.5
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),2001,25+ years,Female,5.5
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),2002,25+ years,Female,5.5
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),2003,25+ years,Female,5.5
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1981,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1982,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1983,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1984,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1985,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1998,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),1999,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),2000,25+ years,Male,5.1
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),2001,25+ years,Male,5.1
BP_05,Mean systolic blood pressure (crude estimate),1987,25+ years,Male,129.1
BP_05,Mean systolic blood pressure (crude estimate),1988,25+ years,Male,128.8
BP_05,Mean systolic blood pressure (crude estimate),1989,25+ years,Male,128.5
BP_05,Mean systolic blood pressure (crude estimate),1990,25+ years,Male,128.3
BP_05,Mean systolic blood pressure (crude estimate),1991,25+ years,Male,128.2
BP_05,Mean systolic blood pressure (crude estimate),2004,25+ years,Male,129.5
BP_05,Mean systolic blood pressure (crude estimate),2005,25+ years,Male,129.9
BP_05,Mean systolic blood pressure (crude estimate),2006,25+ years,Male,130.3
BP_05,Mean systolic blood pressure (crude estimate),2007,25+ years,Male,130.6
BP_05,Mean systolic blood pressure (crude estimate),1986,25+ years,Female,128.9
BP_05,Mean systolic blood pressure (crude estimate),1987,25+ years,Female,129
BP_05,Mean systolic blood pressure (crude estimate),1988,25+ years,Female,129.2
BP_05,Mean systolic blood pressure (crude estimate),1989,25+ years,Female,129.4
BP_05,Mean systolic blood pressure (crude estimate),2002,25+ years,Female,131.8
BP_05,Mean systolic blood pressure (crude estimate),2003,25+ years,Female,131.9
BP_05,Mean systolic blood pressure (crude estimate),2004,25+ years,Female,132.1
BP_05,Mean systolic blood pressure (crude estimate),2005,25+ years,Female,132.3
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2008,20+ years,Female,23.5
NCD_DTH_TOT,Total NCD Deaths (in thousands),2012,,Female,246152.3
NCD_DTH_TOT,Total NCD Deaths (in thousands),2012,,Male,257407.1
NCD_DTH_TOT,Total NCD Deaths (in thousands),2000,,Male,210174.1
NCD_CCS_CancerRegNational,Existence of population-based cancer registry,2013,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1982,18+  years,Male,27.9
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2000,18+  years,Male,28.1
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2001,18+  years,Male,27.8
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2006,18+  years,Male,26.3
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1980,18+  years,Male,27.2
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1995,18+  years,Male,29.1
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2009,18+  years,Male,25.2
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2015,18+  years,Male,22.7
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2003,18+  years,Female,28.1
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2012,18+  years,Female,26
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1985,18+  years,Female,27.4
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1987,18+  years,Female,27.9
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1992,18+  years,Female,28.9
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2009,18+  years,Female,26.8
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2011,18+  years,Female,26.3
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),2014,18+  years,Female,25.3
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1992,18+  years,Male,24.1
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2001,18+  years,Male,22.2
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2003,18+  years,Male,21.6
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2010,18+  years,Male,19.5
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1989,18+  years,Male,24.2
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2004,18+  years,Male,21.3
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2006,18+  years,Male,20.7
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2007,18+  years,Male,20.4
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1988,18+  years,Male,24.2
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1990,18+  years,Male,24.3
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1996,18+  years,Male,23.4
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1997,18+  years,Male,23.2
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1975,18+  years,Male,20.8
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1978,18+  years,Male,21.5
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1983,18+  years,Male,23.1
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1991,18+  years,Male,24.2
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1979,18+  years,Male,21.8
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1980,18+  years,Male,22.1
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1995,18+  years,Male,23.6
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1998,18+  years,Male,23
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1976,18+  years,Male,21
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1977,18+  years,Male,21.3
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1984,18+  years,Male,23.4
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1981,18+  years,Female,20.6
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1987,18+  years,Female,22.1
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1986,18+  years,Female,21.9
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1989,18+  years,Female,22.5
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1995,18+  years,Female,22.6
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1996,18+  years,Female,22.5
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1982,18+  years,Female,20.9
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1985,18+  years,Female,21.7
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1990,18+  years,Female,22.6
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1991,18+  years,Female,22.7
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2000,18+  years,Female,21.9
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2001,18+  years,Female,21.7
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2007,18+  years,Female,20.5
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2008,18+  years,Female,20.3
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1977,18+  years,Female,19.7
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1980,18+  years,Female,20.4
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2006,18+  years,Female,20.7
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2011,18+  years,Female,19.6
BP_06,Mean systolic blood pressure (age-standardized estimate),2014,18+  years,Male,125.4
BP_06,Mean systolic blood pressure (age-standardized estimate),1978,18+  years,Male,126.7
BP_06,Mean systolic blood pressure (age-standardized estimate),2006,18+  years,Male,127.5
BP_06,Mean systolic blood pressure (age-standardized estimate),2007,18+  years,Male,127.3
BP_06,Mean systolic blood pressure (age-standardized estimate),1977,18+  years,Female,122.5
BP_06,Mean systolic blood pressure (age-standardized estimate),1984,18+  years,Female,124.8
BP_06,Mean systolic blood pressure (age-standardized estimate),1985,18+  years,Female,125.1
BP_06,Mean systolic blood pressure (age-standardized estimate),1981,18+  years,Female,123.8
BP_06,Mean systolic blood pressure (age-standardized estimate),1994,18+  years,Female,127
BP_06,Mean systolic blood pressure (age-standardized estimate),2000,18+  years,Female,126.7
BP_06,Mean systolic blood pressure (age-standardized estimate),2009,18+  years,Female,124.4
BP_06,Mean systolic blood pressure (age-standardized estimate),1995,18+  years,Female,127
BP_06,Mean systolic blood pressure (age-standardized estimate),2004,18+  years,Female,126
BP_06,Mean systolic blood pressure (age-standardized estimate),2011,18+  years,Female,123.6
BP_06,Mean systolic blood pressure (age-standardized estimate),2013,18+  years,Female,122.8
BP_06,Mean systolic blood pressure (age-standardized estimate),1999,18+  years,Female,126.8
BP_06,Mean systolic blood pressure (age-standardized estimate),2001,18+  years,Female,126.6
BP_06,Mean systolic blood pressure (age-standardized estimate),2008,18+  years,Female,124.8
ANEMIAU5,Prevalence of anaemia in children under 5 years (%),1990,,,79.7411
ANEMIAU5,Prevalence of anaemia in children under 5 years (%),1991,,,79.7845
ANEMIAU5,Prevalence of anaemia in children under 5 years (%),1992,,,79.7295
ANEMIAU5,Prevalence of anaemia in children under 5 years (%),2006,,,74.6687
ANEMIAU5,Prevalence of anaemia in children under 5 years (%),2007,,,74.063
ANEMIAU5,Prevalence of anaemia in children under 5 years (%),2008,,,73.3589
ANEMIAU5,Prevalence of anaemia in children under 5 years (%),2009,,,72.7284
ANEMIAPW,Prevalence of anaemia in pregnant women (%),1996,,,61.2917
ANEMIAPW,Prevalence of anaemia in pregnant women (%),1997,,,61.2539
ANEMIAPW,Prevalence of anaemia in pregnant women (%),1998,,,61.18
ANEMIAPW,Prevalence of anaemia in pregnant women (%),1999,,,61.0766
ANEMIAPW,Prevalence of anaemia in pregnant women (%),2012,,,58.9697
ANEMIAPW,Prevalence of anaemia in pregnant women (%),2013,,,58.7094
ANEMIAPW,Prevalence of anaemia in pregnant women (%),2014,,,58.4
ANEMIAPW,Prevalence of anaemia in pregnant women (%),2015,,,58.089
ANEMIAPW,Prevalence of anaemia in pregnant women (%),2016,,,57.8029
ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),2002,,,51.4309
ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),2003,,,51.3647
ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),2004,,,51.2383
ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),2005,,,51.0632
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),1992,,,53.3544
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),1993,,,53.2288
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),1994,,,53.1496
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),1995,,,53.0854
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),2009,,,50.8353
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),2010,,,50.4567
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),2011,,,50.1632
PREVANEMIA,Prevalence of anaemia in women of reproductive age (%),2012,,,49.9372
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1975,18+  years,Both sexes,0.9
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1988,18+  years,Both sexes,2
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1989,18+  years,Both sexes,2.1
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1990,18+  years,Both sexes,2.2
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1991,18+  years,Both sexes,2.4
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2005,18+  years,Both sexes,5.2
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2006,18+  years,Both sexes,5.4
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2007,18+  years,Both sexes,5.7
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2008,18+  years,Both sexes,6
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1975,18+  years,Female,1.5
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1988,18+  years,Female,3.2
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1989,18+  years,Female,3.4
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1990,18+  years,Female,3.6
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1991,18+  years,Female,3.8
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2005,18+  years,Female,7.9
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2006,18+  years,Female,8.3
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2007,18+  years,Female,8.8
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2008,18+  years,Female,9.2
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1975,18+  years,Male,0.3
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1988,18+  years,Male,0.7
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1989,18+  years,Male,0.8
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1990,18+  years,Male,0.9
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1991,18+  years,Male,0.9
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2005,18+  years,Male,2.4
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2006,18+  years,Male,2.5
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1975,18+  years,Both sexes,0.8
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1988,18+  years,Both sexes,1.7
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1989,18+  years,Both sexes,1.8
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1990,18+  years,Both sexes,2
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1991,18+  years,Both sexes,2.1
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2005,18+  years,Both sexes,4.4
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2006,18+  years,Both sexes,4.7
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2007,18+  years,Both sexes,4.9
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2008,18+  years,Both sexes,5.2
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1975,18+  years,Female,1.3
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1988,18+  years,Female,2.8
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1989,18+  years,Female,2.9
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1990,18+  years,Female,3.1
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1991,18+  years,Female,3.3
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2005,18+  years,Female,6.8
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2006,18+  years,Female,7.2
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2007,18+  years,Female,7.6
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2008,18+  years,Female,7.9
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1975,18+  years,Male,0.3
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1988,18+  years,Male,0.7
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1989,18+  years,Male,0.7
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1990,18+  years,Male,0.8
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1991,18+  years,Male,0.8
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2005,18+  years,Male,2.1
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2006,18+  years,Male,2.2
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2007,18+  years,Male,2.3
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2008,18+  years,Male,2.5
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1985,18+  years,Both sexes,16.8
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1986,18+  years,Both sexes,16.6
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1987,18+  years,Both sexes,16.3
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1985,18+  years,Male,17.5
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1986,18+  years,Male,17.3
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1987,18+  years,Male,17.1
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1988,18+  years,Male,16.9
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",2002,18+  years,Male,14.1
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",2003,18+  years,Male,13.9
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",2004,18+  years,Male,13.7
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",2005,18+  years,Male,13.5
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1985,18+  years,Both sexes,16.5
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1986,18+  years,Both sexes,16.3
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1987,18+  years,Both sexes,16.1
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1988,18+  years,Both sexes,15.9
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",2002,18+  years,Both sexes,13.3
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1985,18+  years,Female,15.7
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1986,18+  years,Female,15.5
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1987,18+  years,Female,15.3
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1988,18+  years,Female,15.1
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2008,18+  years,Male,2.8
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2007,18+  years,Male,2.7
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1987,18+  years,Male,16.9
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",2003,18+  years,Male,14
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",2004,18+  years,Male,13.8
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",2005,18+  years,Male,13.6
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1975,18+  years,Both sexes,20
NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1976,18+  years,Both sexes,20.1
