indicator_code,indicator_name,year,age_group,sex,cause_code,cause_name,indicator_value
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE074,Prostate cancer,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE101,Other neurological conditions,2.84151
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE110,Cardiovascular diseases,282.80085
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE111,Rheumatic heart disease,8.22857
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE112,Hypertensive heart disease,25.02429
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE126,Genitourinary diseases,31.23068
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE127,Kidney diseases,24.70817
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE128,Hyperplasia of prostate,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE129,Urolithiasis,0.26691
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE153,Road injury,23.1097
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE154,Poisonings,2.28265
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE155,Falls,20.98635
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE156,"Fire, heat and hot substances",17.41716
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE011,Diarrhoeal diseases,70.60278
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE012,Childhood-cluster diseases,8.74936
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE013,Whooping cough,3.04614
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE014,Diphtheria,0.27103
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE028,Onchocerciasis,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE029,Leprosy,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE030,Dengue,0.28756
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE031,Trachoma,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE054,Nutritional deficiencies,49.13844
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE055,Protein-energy malnutrition,35.58834
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE061,Malignant neoplasms,106.70205
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE062,Mouth and oropharynx cancers,2.09478
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE075,Bladder cancer,1.02523
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE076,"Lymphomas, multiple myeloma",4.5801
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE077,Leukaemia,1.74697
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE078,Other malignant neoplasms,10.74272
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE113,Ischaemic heart disease,92.64012
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE114,Stroke,124.17913
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE115,"Cardiomyopathy, myocarditis, endocarditis",9.81388
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE116,Other circulatory diseases,16.83259
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE130,Other genitourinary diseases,10.83321
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE132,Gynecological diseases,0.14386
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE134,Musculoskeletal diseases,5.15714
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE140,Congenital anomalies,8.95108
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE157,Drowning,6.84111
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE158,Exposure to forces of nature,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE159,Other unintentional injuries,21.9981
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Both sexes,GHE160,Intentional injuries,29.08182
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE015,Measles,1.77788
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE016,Tetanus,1.43282
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE017,Meningitis,45.50425
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE018,Encephalitis,2.87462
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE032,Rabies,1.86229
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE033,Intestinal nematode infections,0.12913
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE037,Other infectious diseases,30.45298
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE038,Respiratory infections,308.79732
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE062,Mouth and oropharynx cancers,2.55308
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE063,Oesophagus cancer,0.43094
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE064,Stomach cancer,2.54345
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE065,Colon and rectum cancers,4.48747
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE066,Liver cancer,17.30192
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE079,Other neoplasms,4.8667
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE080,Diabetes mellitus,41.93767
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE081,"Endocrine, blood, immune disorders",14.53596
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE082,Mental and behavioral disorders,3.53236
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE117,Respiratory diseases,40.06187
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE118,Chronic obstructive pulmonary disease,22.77779
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE119,Asthma,8.97433
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE120,Other respiratory diseases,8.30976
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE141,Neural tube defects,1.4696
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE142,Cleft lip and cleft palate,0.04819
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE143,Down's syndrome,0.37037
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE144,Congenital heart anomalies,3.13494
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE161,Self-harm,10.25622
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE162,Interpersonal violence,31.34612
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Male,GHE163,Collective violence and legal intervention,2.02752
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE000,All Causes,1624.07903
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE019,Acute hepatitis B,4.75098
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE020,Acute hepatitis C,0.76891
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE021,Parasitic and vector diseases,67.75461
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE022,Malaria,61.39519
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE039,Lower respiratory infections,270.54222
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE040,Upper respiratory infections,0.62968
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE042,Maternal conditions,57.08258
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE049,Neonatal conditions,59.08087
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE066,Liver cancer,10.04188
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE067,Pancreas cancer,1.64765
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE068,"Trachea, bronchus, lung cancers",1.08741
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE069,Melanoma and other skin cancers,0.74402
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE070,Breast cancer,30.05634
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE094,Neurological conditions,26.09871
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE095,Alzheimer's disease and other dementias,5.38299
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE096,Parkinson's disease,3.1211
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE097,Epilepsy,13.91258
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE121,Digestive diseases,83.35002
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE122,Peptic ulcer disease,12.74002
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE123,Cirrhosis of the liver,22.41315
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE124,Appendicitis,6.8883
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE144,Congenital heart anomalies,2.63836
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE145,Other chromosomal anomalies,0.4232
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE146,Other congenital anomalies,3.59378
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE151,Injuries,104.60013
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012,,Female,GHE152,Unintentional injuries,90.24543
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2012,,,GHE001,Communicable & other Group I,48536.53906
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2012,,,GHE060,Noncommunicable diseases,28038.5293
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2012,,,GHE151,Injuries,8189.17285
WHS2_126,Distribution of years of life lost by major cause group,2000,,,GHE151,Injuries,7
WHS2_126,Distribution of years of life lost by major cause group,2012,,,GHE001,Communicable & other Group I,73
WHS2_126,Distribution of years of life lost by major cause group,2012,,,GHE060,Noncommunicable diseases,16
WHS2_126,Distribution of years of life lost by major cause group,2012,,,GHE151,Injuries,10
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE002,Infectious and parasitic diseases,666.84978
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE003,Tuberculosis,73.33734
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE004,STDs excluding HIV,5.10382
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE010,HIV/AIDS,134.28393
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE011,Diarrhoeal diseases,128.43703
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE024,Chagas disease,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE025,Schistosomiasis,4.52533
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE026,Leishmaniasis,1.17874
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE027,Lymphatic filariasis,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE051,Birth asphyxia and birth trauma,33.10766
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE052,Neonatal sepsis and infections,12.37903
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE053,Other neonatal conditions,1.95496
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE054,Nutritional deficiencies,70.29391
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE071,Cervix uteri cancer,15.24365
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE072,Corpus uteri cancer,1.2627
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE073,Ovary cancer,1.69798
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE074,Prostate cancer,30.35173
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE075,Bladder cancer,1.33356
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE101,Other neurological conditions,4.91166
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE110,Cardiovascular diseases,277.60642
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE111,Rheumatic heart disease,8.52287
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE112,Hypertensive heart disease,17.45559
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE126,Genitourinary diseases,28.91375
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE127,Kidney diseases,19.57303
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE128,Hyperplasia of prostate,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE129,Urolithiasis,0.44122
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE154,Poisonings,3.13246
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE155,Falls,27.92631
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE156,"Fire, heat and hot substances",19.77645
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE011,Diarrhoeal diseases,131.45554
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE012,Childhood-cluster diseases,97.86202
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE013,Whooping cough,3.82398
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE014,Diphtheria,0.82307
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE015,Measles,89.40493
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE028,Onchocerciasis,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE029,Leprosy,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE030,Dengue,0.39226
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE031,Trachoma,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE055,Protein-energy malnutrition,51.43973
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE061,Malignant neoplasms,131.34788
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE062,Mouth and oropharynx cancers,2.72058
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE075,Bladder cancer,1.74671
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE076,"Lymphomas, multiple myeloma",5.06917
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE077,Leukaemia,2.106
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE078,Other malignant neoplasms,13.82631
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE079,Other neoplasms,4.51168
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE113,Ischaemic heart disease,95.59543
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE114,Stroke,125.8567
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE115,"Cardiomyopathy, myocarditis, endocarditis",10.0868
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE130,Other genitourinary diseases,12.02113
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE132,Gynecological diseases,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE134,Musculoskeletal diseases,3.63359
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE140,Congenital anomalies,10.52369
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE158,Exposure to forces of nature,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE159,Other unintentional injuries,30.04745
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE160,Intentional injuries,52.41738
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE161,Self-harm,10.32863
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE015,Measles,90.44118
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE016,Tetanus,12.61665
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE017,Meningitis,51.98569
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE018,Encephalitis,3.18577
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE019,Acute hepatitis B,4.00419
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE032,Rabies,3.25659
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE033,Intestinal nematode infections,0.08586
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE037,Other infectious diseases,26.19956
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE038,Respiratory infections,328.60461
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE063,Oesophagus cancer,0.75407
